party,name,date_announced,date_withdrawn
democrat,Dean Phillips,10/26/2023,3/6/2024
democrat,Marianne Williamson,3/4/2023,2/7/2024
democrat,Joe Biden,4/25/2023,
independent,Cornel West,6/5/2023,
independent,Jill Stein,11/9/2023,
independent,Robert F Kennedy Jr,4/5/2023,
republican,Asa Hutchinson,4/26/2023,1/16/2024
republican,Chris Christie,6/6/2023,1/10/2024
republican,Donald Trump,11/16/2022,
republican,Doug Burgum,6/7/2023,12/4/2023
republican,Francis Suarez,6/15/2023,8/29/2023
republican,Larry Elder,6/20/2023,10/26/2023
republican,Mike Pence,6/7/2023,10/28/2023
republican,Nikki Haley,2/14/2023,3/6/2024
republican,Perry Johnson,3/3/2023,10/20/2023
republican,Ron DeSantis,5/24/2023,1/21/2024
republican,Tim Scott,5/19/2023,11/12/2023
republican,Vivek Ramaswamy,2/21/2023,1/15/2024
republican,Will Hurd,6/22/2023,10/9/2023
